POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_500_BW_U1_00;;;;;
Plan:P5_15085-02_T_08_501_BW_U1_00;;;;;
1;192;8;1,14;86,46;
2;96;16;4,40;667,39;
3;348;8;1,96;269,42;
Plan:P5_15085-02_T_08_502_BW_U1_01;;;;;
1;56;10;1,36;46,99;
2;24;28;4,80;556,42;
3;223;8;2,05;180,57;
4;80;10;0,78;38,50;
5;140;10;1,00;86,38;
6;12;20;9,00;266,76;
7;14;10;1,76;15,20;
8;223;10;4,02;553,12;
9;22;10;5,90;80,09;
10;66;10;7,20;293,20;
11;22;10;5,95;80,77;
12;88;10;1,20;65,16;
13;8;14;4,35;42,11;
14;27;10;1,73;28,82;
15;4;20;6,40;63,23;
16;4;14;7,00;33,88;
17;12;14;8,25;119,79;
18;4;14;6,35;30,73;
19;4;20;7,75;76,57;
Plan:P5_15085-02_T_08_503_BW_U1_02;;;;;
201;3;14;0,61;2,21;
1;21;8;1,28;10,62;
2;22;16;4,35;151,21;
3;69;8;2,05;55,87;
4;16;10;3,16;31,20;
5;18;12;2,85;45,55;
6;53;10;4,02;131,46;
7;17;10;2,26;23,71;
8;92;10;4,20;238,41;
9;8;14;4,35;42,11;
10;74;10;4,65;212,31;
11;42;8;2,15;35,67;
12;16;10;0,78;7,70;
13;28;10;1,00;17,28;
14;24;10;11,70;173,25;
15;24;10;2,15;31,84;
16;81;10;1,75;87,46;
17;50;10;1,25;38,56;
18;2;14;4,80;11,62;
19;2;14;6,55;15,85;
20;2;14;2,00;4,84;
21;8;16;3,80;48,03;
22;4;20;5,00;49,40;
23;4;20;6,75;66,69;
24;4;20;3,50;34,58;
25;50;8;0,47;9,28;
26;8;10;3,50;17,28;
112;VE;12;5,00;4,44;
Plan:P5_15085-02_T_08_504_BW_U1_01;;;;;
1;28;10;1,36;23,50;
2;12;28;4,70;272,41;
3;21;8;1,28;10,62;
4;4;16;4,25;26,86;
6;56;10;0,78;26,95;
7;98;10;1,00;60,47;
8;112;10;4,40;304,06;
9;46;10;5,10;144,75;
10;36;10;3,40;75,52;
11;74;10;5,85;267,10;
12;74;10;5,95;271,67;
13;20;14;4,45;107,69;
14;4;14;5,20;25,17;
16;66;10;7,20;293,20;
17;110;10;1,20;81,44;
18;8;16;8,75;110,60;
19;4;16;9,65;60,99;
20;4;16;4,40;27,81;
21;8;20;9,00;177,84;
22;4;20;10,05;99,29;
23;4;20;4,55;44,95;
24;50;8;0,47;9,28;
5;292;10;1,85;333,30;
15;168;10;4,02;416,70;
Plan:P5_15085-02_T_08_505_BW_U1_02;;;;;
1;48;8;1,67;31,66;
3;45;10;1,19;33,04;
5;47;12;2,63;109,77;
7;4;16;2,00;12,64;
8;8;10;2,60;12,83;
9;16;10;1,00;9,87;
10;10;10;1,78;10,98;
11;10;10;1,28;7,90;
12;3;10;1,73;3,20;
13;10;10;6,75;41,65;
14;10;10;4,65;28,69;
15;10;10;7,20;44,42;
16;58;8;1,90;43,53;
17;10;8;2,06;8,14;
18;12;12;4,30;45,82;
19;8;16;4,50;56,88;
20;8;10;0,83;4,10;
21;14;10;1,00;8,64;
22;33;10;1,61;32,78;
23;2;16;3,17;10,02;
110;VE;10;90,00;55,53;
2;70;10;1,24;53,56;
4;70;12;2,69;167,21;
24;5;10;2,28;7,03;
25;7;10;2,24;9,67;
26;7;12;3,69;22,94;
6;14;10;2,36;20,39;
Plan:P5_15085-02_T_08_506_BW_U1_02;;;;;
201;6;14;0,51;3,70;
1;18;14;4,65;101,28;
2;104;10;4,35;279,13;
3;56;10;7,70;266,05;
4;31;10;1,70;32,52;
5;60;8;0,42;9,95;
6;38;10;5,55;130,13;
7;10;10;7,90;48,74;
8;10;10;3,95;24,37;
9;10;10;2,50;15,43;
10;66;8;4,20;109,49;
11;18;8;2,50;17,78;
12;12;20;5,25;155,61;
13;10;16;2,80;44,24;
14;51;10;1,20;37,76;
15;19;10;2,80;32,82;
16;18;8;1,78;12,66;
17;14;8;4,08;22,56;
18;2;16;5,75;18,17;
19;6;10;2,50;9,25;
20;2;16;4,00;12,64;
21;11;12;2,22;21,68;
22;2;14;3,65;8,83;
23;12;8;3,40;16,12;
24;8;12;3,50;24,86;
25;40;8;1,90;30,02;
26;4;16;2,40;15,17;
27;9;8;3,08;10,95;
