POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
RND_08_W„nde 1;;;;;
Plan:P5_15085-02_T_08_550_BW_01_00;;;;;
34;7;8;4,18;11,56;
35;4;14;2,30;11,13;
Plan:P5_15085-02_T_08_560_BW_01_01;;;;;
1;16;14;4,65;90,02;
2;140;8;4,20;232,26;
3;44;8;4,10;71,26;
4;81;10;1,70;84,96;
5;67;8;0,42;11,12;
7;44;8;1,95;33,89;
8;38;10;4,50;105,51;
9;18;10;5,55;61,64;
10;19;10;1,20;14,07;
11;18;10;1,36;15,10;
12;8;16;2,00;25,28;
13;6;8;2,58;6,11;
14;6;8;1,96;4,65;
15;28;16;5,00;221,20;
16;72;10;4,30;191,02;
17;23;8;2,30;20,90;
18;48;8;1,90;36,02;
19;92;8;3,00;109,02;
Plan:P5_15085-02_T_08_561_BW_01_01;;;;;
201;6;14;0,51;3,70;
1;16;14;4,65;90,02;
2;89;8;4,20;147,65;
3;18;8;2,50;17,78;
4;65;10;1,70;68,18;
5;65;8;0,42;10,78;
6;6;16;2,75;26,07;
7;100;10;7,70;475,09;
8;10;10;3,75;23,14;
9;10;10;2,45;15,12;
10;8;10;1,20;5,92;
11;3;10;1,18;2,18;
12;20;8;1,32;10,43;
13;8;12;3,00;21,31;
14;30;8;2,38;28,20;
15;6;10;1,80;6,66;
16;104;10;4,35;279,13;
17;8;10;2,20;10,86;
18;6;8;0,98;2,32;
19;34;8;2,10;28,20;
20;16;10;2,25;22,21;
21;8;16;2,00;25,28;
22;23;10;2,12;30,08;
23;8;12;3,45;24,51;
24;4;16;4,70;29,70;
25;8;12;1,50;10,66;
26;4;20;3,95;39,03;
27;5;12;1,90;8,44;
28;10;20;5,00;123,50;
Plan:RNDlistopenDWGs;;;;;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
