POS;ST‹CK;DURCHM;LƒNGE;GEWICHT;
RND_01_Bodenplatte;;;;;
Plan:P5_15085-02_T_08_440_BW_EUB_00;;;;;
Plan:P5_15085-02_T_08_441_BW_EUB_00;;;;;
34;6;20;8,00;118,56;
35;3;20;5,75;42,61;
36;93;16;12,50;1836,75;
37;3;12;2,18;5,81;
38;28;10;2,10;36,28;
39;8;16;2,20;27,81;
40;3;8;1,50;1,78;
41;70;14;2,62;221,91;
42;140;14;3,02;511,59;
43;139;16;6,00;1317,72;
44;66;16;8,30;865,52;
45;71;16;10,15;1138,63;
46;46;16;10,60;770,41;
47;22;16;7,25;252,01;
48;86;16;8,05;1093,83;
49;42;16;4,90;325,16;
50;79;16;13,30;1660,11;
51;14;16;8,05;178,07;
52;14;16;7,00;154,84;
53;13;16;3,85;79,08;
54;12;16;5,20;98,59;
55;78;20;3,75;722,48;
56;55;20;6,90;937,37;
57;11;25;3,50;148,23;
58;11;25;9,00;381,15;
59;11;25;10,10;427,74;
60;43;12;1,25;47,73;
62;5;20;6,00;74,10;
63;5;20;11,50;142,03;
64;10;14;1,80;21,78;
65;14;16;2,20;48,66;
67;24;14;2,00;58,08;
68;18;16;2,20;62,57;
71;15;14;14,00;254,10;
72;66;12;2,22;130,11;
73;20;16;3,45;109,02;
74;21;16;9,00;298,62;
75;4;16;5,90;37,29;
76;8;16;6,50;82,16;
77;4;16;4,00;25,28;
78;120;14;1,50;217,80;
79;72;14;1,54;134,16;
80;403;14;1,70;828,97;
81;10;20;2,40;59,28;
66;8;12;1,53;10,87;
69;28;12;1,47;36,55;
70;4;12;1,37;4,87;
112;VE;12;500,00;444,00;
61;15;20;5,00;185,25;
18;2;16;3,45;10,90;
201;30;16;1,25;59,25;
202;8;20;1,50;29,64;
Plan:P5_15085-02_T_08_446_BW_EUB_00;;;;;
1;123;16;11,20;2176,61;
2;41;16;7,70;498,81;
5;14;20;10,00;345,80;
6;13;20;13,00;417,43;
7;84;14;3,56;361,84;
9;13;14;8,70;136,85;
10;8;14;3,20;30,98;
11;48;14;6,95;403,66;
12;5;14;2,20;13,31;
