POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
RND_09_Decke 1;;;;;
Plan:P5_15085-02_T_08_563_BW_01_02;;;;;
1;3;10;2,74;5,07;
2;31;10;1,09;20,85;
3;6;20;11,80;174,88;
5;19;12;1,37;23,11;
6;23;10;1,68;23,84;
7;2;16;6,40;20,22;
8;2;16;5,70;18,01;
9;6;12;1,40;7,46;
10;12;16;4,14;78,49;
11;12;16;3,84;72,81;
13;2;16;2,60;8,22;
14;3;10;1,67;3,09;
15;8;10;2,37;11,70;
16;298;10;0,85;156,29;
18;6;14;7,55;54,81;
19;36;12;2,25;71,93;
20;7;14;2,65;22,45;
21;3;20;8,55;63,36;
22;2;20;8,55;42,24;
23;2;16;3,22;10,18;
24;2;20;4,75;23,47;
25;16;12;2,17;30,83;
26;3;14;2,57;9,33;
27;9;16;2,15;30,57;
28;2;12;2,00;3,55;
29;2;10;1,46;1,80;
30;3;10;1,94;3,59;
31;3;10;1,04;1,93;
32;6;10;0,98;3,63;
33;13;12;2,00;23,09;
34;18;16;2,40;68,26;
35;2;12;3,40;6,04;
36;5;12;1,20;5,33;
37;4;16;4,05;25,60;
38;25;10;2,09;32,24;
39;4;10;2,27;5,60;
40;4;10;1,52;3,75;
41;75;12;1,75;116,55;
42;11;10;1,74;11,81;
43;3;12;1,52;4,05;
44;3;12;1,52;4,05;
45;30;10;1,00;18,51;
47;417;10;1,45;373,07;
48;5;10;1,27;3,92;
49;3;14;2,90;10,53;
112;VE;12;160,00;142,08;
12;7;16;1,95;21,57;
17;2;14;11,10;26,86;
46;3;20;4,75;35,20;
50;9;10;11,75;65,25;
51;6;16;5,14;48,73;
52;106;12;1,66;156,25;
4;30;14;2,52;91,48;
Plan:P5_15085-02_T_08_564_BW_01_03;;;;;
1;192;10;11,50;1362,34;
2;76;10;7,00;328,24;
3;20;10;4,00;49,36;
4;34;10;10,65;223,42;
6;1;10;10,80;6,66;
8;3;20;13,40;99,29;
9;74;16;4,65;543,68;
10;110;10;2,65;179,86;
11;261;10;9,55;1537,90;
12;42;10;7,65;198,24;
16;4;12;2,85;10,12;
18;2;12;2,30;4,08;
20;24;14;11,85;344,12;
21;6;14;7,80;56,63;
23;11;14;3,75;49,91;
24;130;16;3,00;616,20;
13;5;10;1,72;5,31;
15;10;10;1,17;7,22;
19;8;10;1,20;5,92;
5;56;10;1,40;48,37;
