POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
11;4;12;2,20;7,81;
12;4;12;1,85;6,57;
13;3;12;2,54;6,77;
14;576;10;0,85;302,08;
15;97;10;1,08;64,64;
16;105;10;1,78;115,32;
17;2;16;6,40;20,22;
18;5;10;1,18;3,64;
19;6;10;1,17;4,33;
20;6;12;2,15;11,46;
21;3;10;1,20;2,22;
23;27;10;2,63;43,81;
24;6;10;2,05;7,59;
26;4;12;1,85;6,57;
27;4;16;1,95;12,32;
28;4;14;5,80;28,07;
29;8;14;7,85;75,99;
30;20;14;11,10;268,62;
31;4;14;6,20;30,01;
32;190;10;2,00;234,46;
33;49;12;2,58;112,26;
34;19;16;3,40;102,07;
35;12;20;13,15;389,77;
36;2;20;3,67;18,13;
37;2;16;11,20;35,39;
38;2;12;2,65;4,71;
39;6;12;1,71;9,11;
41;2;16;6,40;20,22;
42;4;16;5,80;36,66;
43;3;20;13,15;97,44;
44;2;16;11,21;35,42;
112;VE;12;210,00;186,48;
3;2;12;2,65;4,71;
4;75;12;1,26;83,92;
22;3;12;1,97;5,25;
25;6;12;2,55;13,59;
40;8;12;3,45;24,51;
2;11;12;2,52;24,62;
Plan:P5_15085-02_T_08_587_BW_02_02;;;;;
1;198;12;11,50;2021,98;
2;92;12;6,00;490,18;
3;46;10;10,00;283,82;
4;54;10;3,45;114,95;
5;16;10;5,95;58,74;
6;47;12;3,45;143,99;
7;12;12;6,95;74,06;
8;62;12;2,05;112,86;
9;30;12;8,70;231,77;
10;16;12;5,15;73,17;
11;40;12;1,90;67,49;
12;60;12;12,70;676,66;
13;8;12;3,05;21,67;
14;7;12;3,85;23,93;
15;58;12;6,45;332,20;
16;251;16;4,00;1586,32;
17;266;12;5,50;1299,14;
18;70;10;2,80;120,93;
19;43;10;4,70;124,70;
20;17;10;7,95;83,39;
23;4;16;3,80;24,02;
24;2;12;1,40;2,49;
25;14;10;2,00;17,28;
27;34;10;2,10;44,05;
29;45;14;1,93;105,09;
30;2;16;5,50;17,38;
31;25;20;5,00;308,75;
32;6;16;3,00;28,44;
26;28;10;1,40;24,19;
28;540;12;1,33;637,76;
22;38;12;6,95;234,52;
21;20;10;1,37;16,91;
Plan:P5_15085-02_T_08_588_BW_02_00;;;;;
1;14;10;2,15;18,57;
2;14;8;2,15;11,89;
3;88;8;1,99;69,17;
4;28;10;2,00;34,55;
5;56;10;1,30;44,92;
8;18;8;1,24;8,82;
10;28;10;2,99;51,66;
11;40;10;2,29;56,52;
15;14;10;4,25;36,71;
16;6;12;1,40;7,46;
12;14;12;2,27;28,22;
6;23;16;3,40;123,56;
7;18;10;1,24;13,77;
9;13;10;3,40;27,27;
13;18;10;1,22;13,55;
14;14;14;4,25;71,99;
17;32;10;1,00;19,74;
18;34;10;1,44;30,21;
19;3;12;2,20;5,86;
201;14;14;1,20;20,33;
Plan:RNDlistopenDWGs;;;;;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
