POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_584_BW_02_02_T1;;;;;
1;30;10;11,05;204,54;
4;11;14;3,53;46,98;
5;12;14;3,33;48,35;
6;6;14;5,73;41,60;
7;19;10;5,45;63,89;
8;6;16;12,00;113,76;
9;3;16;13,00;61,62;
10;165;12;1,64;240,29;
11;19;14;4,21;96,79;
13;3;10;1,28;2,37;
14;45;10;2,63;73,02;
15;71;10;1,08;47,31;
16;16;16;14,00;353,92;
17;30;16;2,30;109,02;
18;15;10;1,12;10,37;
19;8;16;2,60;32,86;
20;34;10;1,68;35,24;
21;2;16;6,40;20,22;
22;79;10;1,06;51,67;
23;11;12;2,52;24,62;
24;13;16;2,40;49,30;
25;34;12;3,01;90,88;
26;2;12;2,20;3,91;
27;2;12;2,25;4,00;
28;2;10;1,02;1,26;
29;2;10;1,08;1,33;
30;4;10;2,04;5,03;
31;2;16;2,70;8,53;
32;4;16;2,90;18,33;
33;77;10;1,63;77,44;
34;32;12;1,83;52,00;
35;6;12;1,70;9,06;
36;30;12;2,20;58,61;
37;131;10;2,00;161,65;
38;4;16;4,57;28,88;
39;4;16;8,35;52,77;
40;2;14;2,10;5,08;
41;2;16;5,85;18,49;
42;263;10;0,85;137,93;
43;12;14;11,65;169,16;
44;4;14;1,70;8,23;
45;4;12;3,20;11,37;
46;3;12;1,15;3,06;
47;8;16;7,50;94,80;
48;4;20;12,95;127,95;
49;1;20;9,55;23,59;
50;4;10;0,94;2,32;
51;4;20;12,95;127,95;
52;2;20;9,70;47,92;
56;12;10;3,40;25,17;
58;4;16;4,55;28,76;
59;2;16;5,95;18,80;
63;2;16;6,40;20,22;
64;3;16;13,00;61,62;
65;32;14;4,16;161,08;
66;21;16;5,15;170,88;
67;6;16;3,45;32,71;
68;31;10;2,30;43,99;
69;24;10;1,76;26,06;
70;40;10;1,31;32,33;
71;4;16;2,60;16,43;
112;VE;12;200,00;177,60;
2;32;14;2,61;101,06;
3;46;16;3,85;279,82;
12;7;10;1,27;5,49;
53;83;10;1,25;64,01;
54;87;10;1,81;97,16;
55;32;10;1,73;34,16;
57;4;12;2,70;9,59;
61;4;16;3,50;22,12;
62;6;16;12,00;113,76;
72;197;10;1,00;121,55;
60;4;20;4,00;39,52;
73;6;14;3,00;21,78;
74;12;12;1,20;12,79;
Plan:P5_15085-02_T_08_585_BW_02_02;;;;;
1;72;12;11,50;735,26;
2;36;12;5,75;183,82;
3;120;10;11,50;851,46;
4;60;10;5,35;198,06;
7;90;10;5,65;313,74;
8;276;12;5,25;1286,71;
9;111;10;2,30;157,52;
10;80;16;3,50;442,40;
12;117;10;4,80;346,51;
13;108;10;3,25;216,57;
14;12;12;5,60;59,67;
15;30;10;2,15;39,80;
16;52;12;2,00;92,35;
17;26;10;4,35;69,78;
5;37;10;11,75;268,24;
6;24;10;2,60;38,50;
11;263;12;1,33;310,61;
Plan:P5_15085-02_T_08_586_BW_02_03;;;;;
1;185;12;1,28;210,28;
5;12;16;3,15;59,72;
6;2;16;2,70;8,53;
7;2;16;3,40;10,74;
8;8;12;2,80;19,89;
9;8;16;3,45;43,61;
10;52;10;1,36;43,63;
