POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_480_BW_U2_00;;;;;
Plan:P5_15085-02_T_08_481_BW_U2_01;;;;;
50;41;12;4,32;157,28;
51;5;20;7,50;92,63;
52;8;16;3,00;37,92;
53;6;14;3,72;27,01;
54;5;20;5,00;61,75;
55;2;16;2,19;6,92;
56;22;10;3,57;48,46;
57;6;8;0,92;2,18;
58;8;10;1,62;8,00;
59;4;10;1,28;3,16;
60;20;14;2,00;48,40;
61;2;10;1,56;1,93;
62;3;10;1,02;1,89;
63;4;12;4,00;14,21;
64;22;16;2,50;86,90;
65;12;8;0,82;3,89;
66;12;8;1,30;6,16;
67;10;8;1,30;5,14;
68;12;8;0,96;4,55;
69;2;16;4,20;13,27;
70;3;16;4,44;21,05;
71;5;14;3,19;19,30;
72;2;16;4,26;13,46;
73;2;16;4,25;13,43;
74;4;14;4,00;19,36;
75;10;20;3,80;93,86;
76;7;12;3,32;20,64;
77;16;10;1,77;17,47;
78;34;10;3,48;73,00;
79;34;10;2,26;47,41;
80;5;10;7,10;21,90;
81;5;10;3,80;11,72;
112;VE;12;895,00;794,76;
Plan:P5_15085-02_T_08_486_BW_U2_01;;;;;
1;187;10;10,80;1246,09;
2;59;10;7,50;273,02;
3;241;10;10,55;1568,75;
4;110;10;6,00;407,22;
5;32;10;6,45;127,35;
6;64;10;6,80;268,52;
7;43;10;7,75;205,62;
8;97;10;2,00;119,70;
9;22;10;4,15;56,33;
10;7;10;2,40;10,37;
11;65;10;5,90;236,62;
12;29;10;7,10;127,04;
13;88;10;1,80;97,73;
14;26;10;3,45;55,34;
15;34;10;6,25;131,11;
16;44;10;10,60;287,77;
17;21;10;2,15;27,86;
18;10;10;3,65;22,52;
19;34;10;5,20;109,09;
20;20;10;1,20;14,81;
21;31;12;2,00;55,06;
22;62;14;3,00;225,06;
23;56;10;2,00;69,10;
24;112;10;1,40;96,75;
25;13;8;1,10;5,65;
26;2;8;2,78;2,20;
27;4;8;1,64;2,59;
28;8;16;3,85;48,66;
29;12;12;1,40;14,92;
30;10;10;1,42;8,76;
31;56;12;1,68;83,54;
32;5;10;3,80;11,72;
Plan:P5_15085-02_T_08_491_BW_U2_00;;;;;
201;12;14;1,20;17,42;
1;14;12;3,50;43,51;
2;14;10;3,50;30,23;
3;104;8;2,05;84,21;
4;28;10;2,00;34,55;
5;56;10;1,30;44,92;
6;6;16;3,40;32,23;
7;35;10;1,24;26,78;
8;11;12;3,40;33,21;
9;11;10;3,40;23,08;
