POS;STÜCK;MAT-TYP;WO;LÄNGE;BREITE;WIEOFT;GEWICHT;
Plan:5B-00-01;;;;;
Plan:5B-01-04;;;;;
Plan:5B-10-05;;;;;
Plan:5B-20-05;;;;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
1;2;Q257A;;6,00;2,30;;
4;2;Q257A;;6,00;1,14;;
2;2;Q257A;u+o;3,00;2,30;;
2;2;Q257A;u+o;3,00;2,30;;
2;2;Q257A;u+o;3,00;2,30;;
2;2;Q257A;u+o;3,00;2,30;;
2;2;Q257A;u+o;3,00;2,30;;
2;2;Q257A;u+o;3,00;2,30;;
2;2;Q257A;u+o;3,00;2,30;;
2;2;Q257A;u+o;3,00;2,30;;
3;2;Q257A;u+o;3,00;1,14;;
5;2;R424A;u+o;3,95;2,30;;
5;2;R424A;u+o;3,95;2,30;;
5;2;R424A;u+o;3,95;2,30;;
5;2;R424A;u+o;3,95;2,30;;
5;2;R424A;u+o;3,95;2,30;;
5;2;R424A;u+o;3,95;2,30;;
5;2;R424A;u+o;3,95;2,30;;
 ;;;;
 ;;;;
 ;;;;
 ;;;;
Mattengewichte;L  [m];B [m];[kg];[kg/m²]
 ;;;;
Q188 A;600;230;41,7;3,0217
Q257 A;600;230;56,8;4,1159
Q335 A;600;230;74,3;5,3841
Q424 A;600;230;84,4;6,1159
Q524 A;600;230;100,9;7,3116
Q636 A;600;235;132;9,3617
 ;;;;
 ;;;;
R188 A;600;230;33,6;2,4348
R257 A;600;230;41,2;2,9855
R335 A;600;230;50,2;3,6377
R424 A;600;230;67,2;4,8696
R524 A;600;230;75,7;5,4855
 ;;;;
 ;;;;
B188 A;595;235;38,3;2,7391
B257 A;595;235;52,1;3,7261
B335 A;595;235;64,9;4,6415
B424 A;595;235;82;5,8645
B524 A;595;235;101,4;7,2519
B636 A;595;235;120,2;8,5965
